70,"Follow the Rules Security Issue (Application have password, etc)",\N,\N,0,4,11
71,Collab with NPA Area for Dashboard Web,\N,\N,0,4,31
72,Alerting and Data Information by BOT,\N,\N,0,4,31
73,"Collect All Data Potensi RAN Share to Dashboard (Racing Alarm, Inventory, State Cell/Site)",\N,\N,0,4,8
74,Collect All Data Potensi Transport and Datacomm Share to Dashboard,\N,\N,0,4,8
75,"Collect All Data Potensi Power Share to Dashboard (BBT, Frequent Down, etc)",\N,\N,0,4,8
76,Collect All Data Potensi Core Share to Dashboard,\N,\N,0,4,8
77,Montly Reminding Varcost Absorption to All Department,\N,\N,0,2,36
78,Activity Execution by Priority (Timeline by NOS),\N,\N,0,2,24
79,Full Document Administration,\N,\N,0,2,12
80,SLA Commitment,\N,\N,0,2,12
81,Program Shelterless,Already Have PO,HQ,\N,3,16
82,Simplifikasi Rectifier,Already Have PO,Capex,10000000,3,16
83,Reduce RH Genset,Site Simpul,\N,0,3,16
84,Bill Off Metro,Site already not service,\N,0,3,29
85,Reduce Cost Site Leased,Site Indoor already not service,\N,0,3,17
86,Terminate unpotential Site,Black Site,Opex,5000000,3,17
87,Change Frequent Maintenance Site,Maintenance Equipment by TI,\N,0,3,21
88,Exclude Penjaga Site Topaz,\N,\N,0,3,21
89,Dismantle ISR,Radio IP already not service,\N,0,3,29
90,Simplifikasi NE Configuration,RRU Dual/Multiband,Varcost,1500000,3,16
91,"Optimalisasi SoW, Power & Space Rental ",Became to Site Contoller,Opex,1180000000,3,28
92,Optimalisasi Power Controller,Power Off RNC 3G Shutdown,\N,0,3,16
93,Automatic Cell up and down,Mall & Office,\N,0,3,16
94,Renewal Site 2023,\N,\N,0,6,20
95,Renewal Site 2024,\N,\N,0,6,20
96,Routine Check Interference Indoor,\N,\N,0,6,9
97,Repeater Solution for Customer,Repeater Idle,Opex,5000000,6,9
98,Redudancy System for Controller/Site Simpul/Backbone,\N,\N,0,6,1
99,"Strengthen Power System, Dual Homing Transport site BCP Platinum",Site BCP Platinum,HQ,\N,6,1
100,"Strengthen Power System, Dual Homing Transport site VVIP",\N,HQ,\N,6,1
101,Smart Key,Belting Rectifier,\N,0,6,35
102,Hightening Shelter,Flood Disaster,Capex,50000000,6,1
103,Replace Arester,Faulty,\N,0,9,10
104,Repair Grounding,\N,Varcost,10300000,9,\N
105,Replace AC,\N,\N,0,9,10
106,Split Sector,\N,Varcost,5500000,7,\N
107,Reengineering Low Util,Reeng Low Util MS L18,Varcost,15000000,7,\N
108,Antenna Levelling,\N,Capex,10000000,7,\N
109,Relok Sector LTE 2300,\N,Capex,15000000,7,\N
110,Relok LTE 2300,\N,Capex,45000000,7,\N
111,Relok NE,Relok NE all sector,Capex,45000000,7,\N
112,Split sector for High Rise Building,Split sector for Hotel Swiss Bell Solo,Varcost,5500000,7,\N
113,Dual Homming Transport,Dual Homming Transport Metroe and FO Tsel,\N,0,10,\N
114,Adjust Split Beam,Adjust Split Beam TDD,\N,0,7,\N
115,High Revenue Customer Program,Improving site with HRC Contribution High and Medium,\N,0,7,\N
116,Downtrend Program,Improving downtrend site,\N,0,7,\N
117,Blacksite change with Easymacro,\N,Capex,100000000,3,\N
118,Upgrade SFP RRU,Upgrade SFP RRU and UBBP 3 cell,Capex,6600000,8,\N
119,Upgrade UMPT,Upgrade UMPTa to UMPTe,Capex,3000000,8,\N
120,Modernisasi Antenna,Modernisasi Antenna Katherine 3 pcs,Capex,100500000,8,\N
121,Activate Alarm Battery Stolen for Potential Site,\N,Varcost,100000,6,35
122,Have Commite with Angkasa Pura for Problem Interference & Indoor Coverage,\N,\N,0,6,9
